item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,mapping_confidence,cross_set_group
M3_QFUNC_150_S04_Q001,001,1,42,이차함수의 뜻,M3_QFUNC_PT004,이차함수의 뜻과 표준형 - 조건 종합,choice:4,91,basic,symbolic_or_verbal,False,0.9,M3_QFUNC_PT004::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q002,002,1,42,이차함수의 뜻,M3_QFUNC_PT004,이차함수의 뜻과 표준형 - 조건 종합,choice:3,88,basic,symbolic_or_verbal,False,0.9,M3_QFUNC_PT004::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q003,003,1,42,이차함수가 되도록 하는 조건,M3_QFUNC_PT012,조건을 만족하는 이차함수식 판별 - 조건 종합,"choices:1,4",73,standard,symbolic_or_verbal,False,0.9,M3_QFUNC_PT012::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q004,004,1,42,이차함수가 되도록 하는 조건,M3_QFUNC_PT012,조건을 만족하는 이차함수식 판별 - 조건 종합,"choices:1,4",84,standard,symbolic_or_verbal,False,0.9,M3_QFUNC_PT012::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q005,005,2,42,이차함수가 되도록 하는 조건,M3_QFUNC_PT012,조건을 만족하는 이차함수식 판별 - 조건 종합,choice:5,72,standard,symbolic_or_verbal,False,0.9,M3_QFUNC_PT012::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q006,006,2,42,이차함수가 되도록 하는 조건,M3_QFUNC_PT012,조건을 만족하는 이차함수식 판별 - 조건 종합,9,48,standard,symbolic_or_verbal,False,0.9,M3_QFUNC_PT012::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q007,007,2,43,이차함수의 함숫값,M3_QFUNC_PT006,이차함수의 함숫값 계산 - 계산 수행,27,82,advanced,symbolic_or_verbal,False,0.9,M3_QFUNC_PT006::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q008,008,2,43,이차함수의 함숫값,M3_QFUNC_PT006,이차함수의 함숫값 계산 - 계산 수행,28,79,advanced,symbolic_or_verbal,False,0.9,M3_QFUNC_PT006::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q009,009,3,43,이차함수의 함숫값,M3_QFUNC_PT006,이차함수의 함숫값 계산 - 계산 수행,12,78,advanced,symbolic_or_verbal,False,0.9,M3_QFUNC_PT006::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q010,010,3,43,이차함수의 함숫값,M3_QFUNC_PT006,이차함수의 함숫값 계산 - 계산 수행,choice:4,66,advanced,symbolic_or_verbal,False,0.9,M3_QFUNC_PT006::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q011,011,3,43,이차함수 y=ax²의 그래프,M3_QFUNC_PT024,|a|와 그래프의 폭 - 조건 종합,choice:2,80,core,graph_or_geometry_diagram,True,0.9,M3_QFUNC_PT024::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q012,012,3,43,이차함수 y=ax²의 그래프,M3_QFUNC_PT023,|a|와 그래프의 폭 - 그래프 해석,choice:2,88,basic,graph_or_geometry_diagram,True,0.9,M3_QFUNC_PT023::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q013,013,4,43,이차함수 y=ax²의 그래프,M3_QFUNC_PT023,|a|와 그래프의 폭 - 그래프 해석,choice:1,87,basic,graph_or_geometry_diagram,True,0.9,M3_QFUNC_PT023::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q014,014,4,43,이차함수 y=ax²의 그래프,M3_QFUNC_PT024,|a|와 그래프의 폭 - 조건 종합,4,87,core,graph_or_geometry_diagram,True,0.9,M3_QFUNC_PT024::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q015,015,4,43,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,-20,75,basic,symbolic_or_verbal,False,0.9,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q016,016,4,44,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,-1,80,basic,symbolic_or_verbal,False,0.9,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q017,017,5,44,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,choice:3,81,basic,symbolic_or_verbal,False,0.9,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q018,018,5,44,"이차함수 y=ax², y=-ax²의 그래프의 관계",M3_QFUNC_PT026,y=ax²의 대칭성과 점 대응 - 계산 수행,2,77,basic,symbolic_or_verbal,False,0.9,M3_QFUNC_PT026::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q019,019,5,44,이차함수 y=ax²의 그래프의 성질,M3_QFUNC_PT016,y=ax²의 그래프 기본형 - 조건 종합,choice:2,88,advanced,symbolic_or_verbal,False,0.9,M3_QFUNC_PT016::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q020,020,5,44,이차함수 y=ax²의 그래프의 성질,M3_QFUNC_PT024,|a|와 그래프의 폭 - 조건 종합,choice:1,68,core,symbolic_or_verbal,False,0.9,M3_QFUNC_PT024::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q021,021,6,44,이차함수 y=ax²의 그래프의 성질,M3_QFUNC_PT016,y=ax²의 그래프 기본형 - 조건 종합,choice:5,86,advanced,symbolic_or_verbal,False,0.9,M3_QFUNC_PT016::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q022,022,6,44,이차함수 y=ax²의 그래프의 성질,M3_QFUNC_PT016,y=ax²의 그래프 기본형 - 조건 종합,choice:4,85,advanced,symbolic_or_verbal,False,0.9,M3_QFUNC_PT016::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q023,023,6,44,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT030,y=ax²의 식 구하기 - 계산 수행,-2/3,80,core,symbolic_or_verbal,False,0.9,M3_QFUNC_PT030::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q024,024,6,44,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT030,y=ax²의 식 구하기 - 계산 수행,choice:1,76,core,symbolic_or_verbal,False,0.9,M3_QFUNC_PT030::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q025,025,7,44,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT030,y=ax²의 식 구하기 - 계산 수행,choice:5,89,core,symbolic_or_verbal,False,0.9,M3_QFUNC_PT030::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S04_Q026,026,7,45,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT031,y=ax²의 식 구하기 - 그래프 해석,choice:5,70,standard,graph_or_geometry_diagram,True,0.9,M3_QFUNC_PT031::M3_QFUNC_CROSS_SET
