major_no,major_name,file,status,source_file,source_pages_visible
121,간호학과,majors/121_간호학과.json,complete_two_page_visible,학과별 전공탐구 활동_의약계열.pdf,2-3
122,안경광학과,majors/122_안경광학과.json,complete_two_page_visible,학과별 전공탐구 활동_의약계열.pdf,4-5
123,물리치료학과,majors/123_물리치료학과.json,complete_two_page_visible,학과별 전공탐구 활동_의약계열.pdf,6-7
124,방사선학과,majors/124_방사선학과.json,complete_two_page_visible,학과별 전공탐구 활동_의약계열.pdf,8-9
125,보건관리학과,majors/125_보건관리학과.json,complete_two_page_visible,학과별 전공탐구 활동_의약계열.pdf,10-11
126,수의예과,majors/126_수의예과.json,complete_two_page_visible,학과별 전공탐구 활동_의약계열.pdf,12-13
127,약학과,majors/127_약학과.json,complete_two_page_visible,학과별 전공탐구 활동_의약계열.pdf,14-15
128,언어치료학과,majors/128_언어치료학과.json,complete_two_page_visible,학과별 전공탐구 활동_의약계열.pdf,16-17
129,응급구조학과,majors/129_응급구조학과.json,complete_two_page_visible,학과별 전공탐구 활동_의약계열.pdf,18-19
130,한약학과,majors/130_한약학과.json,complete_two_page_visible,메디컬 계열 추가.pdf,1-2
131,의예과,majors/131_의예과.json,complete_two_page_visible,메디컬 계열 추가.pdf,3-4
132,임상병리학과,majors/132_임상병리학과.json,complete_two_page_visible,메디컬 계열 추가.pdf,5-6
133,작업치료학과,majors/133_작업치료학과.json,complete_two_page_visible,메디컬 계열 추가.pdf,7-8
134,재활상담학과,majors/134_재활상담학과.json,complete_two_page_visible,메디컬 계열 추가.pdf,9-10
135,치기공학과,majors/135_치기공학과.json,complete_two_page_visible,메디컬 계열 추가.pdf,11-12
136,치위생학과,majors/136_치위생학과.json,complete_two_page_visible,메디컬 계열 추가.pdf,13-14
137,치의예과,majors/137_치의예과.json,complete_two_page_visible,메디컬 계열 추가.pdf,15-16
138,한의예과,majors/138_한의예과.json,complete_two_page_visible,메디컬 계열 추가.pdf,17-18
