problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-004,4,삼각비의 값,M3_TRIG_PT001|M3_TRIG_PT002,all_existing_canonical_types_matched
005-008,4,삼각비가 주어진 경우의 삼각형의 변의 길이,M3_TRIG_PT004|M3_TRIG_PT005,all_existing_canonical_types_matched
009-012,4,한 삼각비가 주어진 경우의 다른 삼각비의 값,M3_TRIG_PT007|M3_TRIG_PT008,all_existing_canonical_types_matched
013-017,5,직각삼각형의 닮음과 삼각비(1),M3_TRIG_PT010|M3_TRIG_PT011,all_existing_canonical_types_matched
018-021,4,직각삼각형의 닮음과 삼각비(2),M3_TRIG_PT011|M3_TRIG_PT012,all_existing_canonical_types_matched
022-025,4,직선의 방정식과 삼각비의 값,M3_TRIG_PT014|M3_TRIG_PT015,all_existing_canonical_types_matched
026-030,5,평면도형에서의 삼각비의 값,M3_TRIG_PT016|M3_TRIG_PT017,all_existing_canonical_types_matched
031-035,5,입체도형에서의 삼각비의 값,M3_TRIG_PT020|M3_TRIG_PT021,all_existing_canonical_types_matched
036-038,3,원에서의 삼각비의 값,M3_TRIG_PT024,all_existing_canonical_types_matched
039-042,4,"특수한 각(30˚, 45˚, 60˚)의 삼각비의 값",M3_TRIG_PT025|M3_TRIG_PT026,all_existing_canonical_types_matched
043-046,4,특수한 각의 삼각비를 이용하여 각의 크기 구하기,M3_TRIG_PT028,all_existing_canonical_types_matched
047-050,4,특수한 각의 삼각비를 이용하여 변의 길이 구하기,M3_TRIG_PT031|M3_TRIG_PT032,all_existing_canonical_types_matched
051-054,4,특수한 각의 삼각비를 이용하여 입체도형에서의 삼각비의 값 구하기,M3_TRIG_PT035|M3_TRIG_PT036,all_existing_canonical_types_matched
055-059,5,특수한 각의 삼각비를 이용하여 다른 삼각비의 값 구하기,M3_TRIG_PT037|M3_TRIG_PT038,all_existing_canonical_types_matched
060-063,4,직선의 기울기와 삼각비의 값,M3_TRIG_PT041|M3_TRIG_PT042,all_existing_canonical_types_matched
064-067,4,특수한 각의 삼각비의 도형에의 활용,M3_TRIG_PT043|M3_TRIG_PT044,all_existing_canonical_types_matched
068-071,4,사분원을 이용한 삼각비의 값,M3_TRIG_PT046|M3_TRIG_PT047,all_existing_canonical_types_matched
072-075,4,"특수한 각(0˚, 90˚)의 삼각비의 값",M3_TRIG_PT049|M3_TRIG_PT050,all_existing_canonical_types_matched
076-078,3,삼각비의 값의 대소 관계,M3_TRIG_PT052|M3_TRIG_PT053,all_existing_canonical_types_matched
079-083,5,삼각비의 값의 대소 관계를 이용한 식의 계산,M3_TRIG_PT056,all_existing_canonical_types_matched
084-087,4,삼각비의 표(1); 삼각비의 값,M3_TRIG_PT059|M3_TRIG_PT060,all_existing_canonical_types_matched
088-091,4,삼각비의 표(2); 각의 크기,M3_TRIG_PT061|M3_TRIG_PT063,all_existing_canonical_types_matched
092-096,5,삼각비의 표(3); 변의 길이,M3_TRIG_PT064|M3_TRIG_PT065|M3_TRIG_PT066,all_existing_canonical_types_matched
097-098,2,직각삼각형의 변의 길이,M3_TRIG_PT068|M3_TRIG_PT069,all_existing_canonical_types_matched
099-102,4,입체도형에서 직각삼각형의 변의 길이의 활용,M3_TRIG_PT070|M3_TRIG_PT071|M3_TRIG_PT072,all_existing_canonical_types_matched
103-106,4,실생활에서 직각삼각형의 변의 길이,M3_TRIG_PT073|M3_TRIG_PT074|M3_TRIG_PT075,all_existing_canonical_types_matched
107-111,5,실생활에서 직각삼각형의 변의 길이의 활용,M3_TRIG_PT076|M3_TRIG_PT077,all_existing_canonical_types_matched
112-115,4,일반 삼각형의 변의 길이(1); 두 변의 길이와 그 끼인각의 크기를 알 때,M3_TRIG_PT079|M3_TRIG_PT080,all_existing_canonical_types_matched
116-119,4,일반 삼각형의 변의 길이(2); 한 변의 길이와 그 양 끝 각의 크기를 알 때,M3_TRIG_PT082|M3_TRIG_PT084,all_existing_canonical_types_matched
120-124,5,예각삼각형의 높이,M3_TRIG_PT085|M3_TRIG_PT086|M3_TRIG_PT087,all_existing_canonical_types_matched
125-129,5,둔각삼각형의 높이,M3_TRIG_PT089,all_existing_canonical_types_matched
130-132,3,예각삼각형의 넓이,M3_TRIG_PT092|M3_TRIG_PT093,all_existing_canonical_types_matched
133-135,3,둔각삼각형의 넓이,M3_TRIG_PT095,all_existing_canonical_types_matched
136-138,3,다각형의 넓이,M3_TRIG_PT098|M3_TRIG_PT099,all_existing_canonical_types_matched
139-142,4,정다각형의 넓이,M3_TRIG_PT100|M3_TRIG_PT101|M3_TRIG_PT102,all_existing_canonical_types_matched
143-146,4,평행사변형의 넓이,M3_TRIG_PT104|M3_TRIG_PT105,all_existing_canonical_types_matched
147-150,4,사각형의 넓이,M3_TRIG_PT106|M3_TRIG_PT107,all_existing_canonical_types_matched
