problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-006,6,유한소수로 나타낼 수 있는(없는) 분수,M2_NE_PT011,existing_canonical_type_matched
007-012,6,B/A X x가 유한소수가 되도록 하는 x의 값 구하기,M2_NE_PT013|M2_NE_PT014,existing_canonical_type_matched
013-018,6,B/(A X x)가 유한소수가 되도록 하는 x의 값 구하기,M2_NE_PT017|M2_NE_PT016|M2_NE_PT018,existing_canonical_type_matched
019-024,6,유한소수가 되는 x/A를 기약분수로 나타내기,M2_NE_PT020,existing_canonical_type_matched
025-028,4,2개 이상의 분수가 동시에 유한소수가 되도록 하는 미지수의 값,M2_NE_PT022|M2_NE_PT021,existing_canonical_type_matched
029-032,4,순환마디,M2_NE_PT024,existing_canonical_type_matched
033-038,6,소수점 아래 n번째 자리의 숫자 구하기,M2_NE_PT033|M2_NE_PT031,existing_canonical_type_matched
039-044,6,순환소수를 분수로 나타내기(3) - 조건제한이 없는 경우,M2_NE_PT044|M2_NE_PT045|M2_NE_PT043,existing_canonical_type_matched
045-050,6,순환소수를 포함한 식의 계산,M2_NE_PT051|M2_NE_PT050,existing_canonical_type_matched
051-056,6,순환소수를 포함한 등식에서 미지수의 값 구하기,M2_NE_PT055|M2_NE_PT057,existing_canonical_type_matched
057-062,6,(순환소수)X x가 유한소수 또는 자연수가 되도록 하는 x의 값 구하기,M2_NE_PT063|M2_NE_PT064,existing_canonical_type_matched
063-067,5,유리수와 순환소수의 관계-소수의 이해,M2_NE_PT068,existing_canonical_type_matched
068-071,4,지수법칙(4) - 곱의 거듭제곱,M2_NE_PT084|M2_NE_PT085,existing_canonical_type_matched
072-074,3,지수법칙(6) - 종합,M2_NE_PT091|M2_NE_PT090,existing_canonical_type_matched
075-080,6,지수법칙을 이용한 실생활 문제,M2_NE_PT094|M2_NE_PT099|M2_NE_PT096,existing_canonical_type_matched
081-086,6,지수법칙의 응용(1) - 같은 수의 덧셈식,M2_NE_PT103|M2_NE_PT100|M2_NE_PT101|M2_NE_PT102,existing_canonical_type_matched
087-088,2,지수법칙의 응용(3) - 다른 문자를 이용하여 나타내기(2),M2_NE_PT107,existing_canonical_type_matched
089-094,6,지수법칙의 응용(4) - 지수법칙과 일의 자릿수,M2_NE_PT110,existing_canonical_type_matched
095-100,6,지수법칙의 응용(5) - 지수법칙과 자연수의 자릿수,M2_NE_PT113|M2_NE_PT112,existing_canonical_type_matched
101-106,6,지수에 미지수가 포함된 방정식의 풀이,M2_NE_PT120|M2_NE_PT118,existing_canonical_type_matched
107-110,4,단항식의 곱셈과 나눗셈의 혼합 계산,M2_NE_PT131|M2_NE_PT132,existing_canonical_type_matched
111-116,6,단항식의 계산에서 빈 칸에 알맞은 식 구하기,M2_NE_PT135|M2_NE_PT136,existing_canonical_type_matched
117-120,4,도형에서의 단항식의 계산(2) - 입체도형,M2_NE_PT142|M2_NE_PT140,existing_canonical_type_matched
121-125,5,이차식의 덧셈과 뺄셈,M2_NE_PT154|M2_NE_PT155,existing_canonical_type_matched
126-129,4,여러 가지 괄호가 있는 식의 계산,M2_NE_PT159,existing_canonical_type_matched
130-133,4,사칙연산이 혼합된 계산,M2_NE_PT177|M2_NE_PT178|M2_NE_PT179,existing_canonical_type_matched
134-138,5,도형에서의 다항식의 계산(1) - 평면도형,M2_NE_PT182,existing_canonical_type_matched
139-144,6,식의 값,M2_NE_PT191|M2_NE_PT190,existing_canonical_type_matched
145-150,6,식의 대입,M2_NE_PT194|M2_NE_PT193,existing_canonical_type_matched
