problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-017,17,닮음의 뜻과 삼각형 닮음 조건,M2_SIMPY_PT004|M2_SIMPY_PT005|M2_SIMPY_PT011|M2_SIMPY_PT013|M2_SIMPY_PT015|M2_SIMPY_PT019|M2_SIMPY_PT021|M2_SIMPY_PT022|M2_SIMPY_PT023|M2_SIMPY_PT026|M2_SIMPY_PT028|M2_SIMPY_PT029,existing_canonical_type_matched
018-033,16,직각삼각형 닮음·평행선과 선분비,M2_SIMPY_PT029|M2_SIMPY_PT031|M2_SIMPY_PT033|M2_SIMPY_PT035|M2_SIMPY_PT036|M2_SIMPY_PT038|M2_SIMPY_PT040|M2_SIMPY_PT042|M2_SIMPY_PT044|M2_SIMPY_PT047|M2_SIMPY_PT049|M2_SIMPY_PT051,existing_canonical_type_matched
034-053,20,각의 이등분선과 사다리꼴 선분비,M2_SIMPY_PT053|M2_SIMPY_PT054|M2_SIMPY_PT056|M2_SIMPY_PT057|M2_SIMPY_PT058|M2_SIMPY_PT059|M2_SIMPY_PT061|M2_SIMPY_PT065|M2_SIMPY_PT067|M2_SIMPY_PT070|M2_SIMPY_PT074|M2_SIMPY_PT077|M2_SIMPY_PT080,existing_canonical_type_matched
054-068,15,중점연결정리·중선,M2_SIMPY_PT080|M2_SIMPY_PT083|M2_SIMPY_PT086|M2_SIMPY_PT089|M2_SIMPY_PT090|M2_SIMPY_PT096|M2_SIMPY_PT098|M2_SIMPY_PT100|M2_SIMPY_PT101,existing_canonical_type_matched
069-087,19,삼각형의 무게중심과 넓이,M2_SIMPY_PT101|M2_SIMPY_PT104|M2_SIMPY_PT105|M2_SIMPY_PT110|M2_SIMPY_PT111|M2_SIMPY_PT112|M2_SIMPY_PT113|M2_SIMPY_PT115|M2_SIMPY_PT116|M2_SIMPY_PT120|M2_SIMPY_PT121|M2_SIMPY_PT122|M2_SIMPY_PT125|M2_SIMPY_PT126|M2_SIMPY_PT128,existing_canonical_type_matched
088-102,15,닮음비의 넓이·겉넓이·부피와 실생활 활용,M2_SIMPY_PT127|M2_SIMPY_PT128|M2_SIMPY_PT131|M2_SIMPY_PT133|M2_SIMPY_PT135|M2_SIMPY_PT140|M2_SIMPY_PT143|M2_SIMPY_PT144|M2_SIMPY_PT146|M2_SIMPY_PT148|M2_SIMPY_PT149,existing_canonical_type_matched
103-118,16,피타고라스 정리의 기본 길이·넓이 계산,M2_SIMPY_PT148|M2_SIMPY_PT149|M2_SIMPY_PT151|M2_SIMPY_PT152|M2_SIMPY_PT153|M2_SIMPY_PT155|M2_SIMPY_PT156|M2_SIMPY_PT157|M2_SIMPY_PT158,existing_canonical_type_matched
119-132,14,피타고라스 정리의 증명·역·삼각형 분류,M2_SIMPY_PT158|M2_SIMPY_PT159|M2_SIMPY_PT161|M2_SIMPY_PT162|M2_SIMPY_PT165|M2_SIMPY_PT166|M2_SIMPY_PT167,existing_canonical_type_matched
133-146,14,피타고라스 정리의 평면도형 응용,M2_SIMPY_PT169|M2_SIMPY_PT170|M2_SIMPY_PT171|M2_SIMPY_PT174|M2_SIMPY_PT177,existing_canonical_type_matched
147-150,4,입체도형과 원기둥 최단거리,M2_SIMPY_PT175|M2_SIMPY_PT177,existing_canonical_type_matched
