problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-004,4,원의 중심과 현의 수직이등분선(1),M3_CIRC_PT003,all_existing_canonical_types_matched
005-009,5,현의 길이(1); 중심에서 같은 거리의 두 현,M3_CIRC_PT014|M3_CIRC_PT013,all_existing_canonical_types_matched
010-014,5,원의 접선과 반지름,M3_CIRC_PT019,all_existing_canonical_types_matched
015-019,5,원의 접선의 성질(1),M3_CIRC_PT022|M3_CIRC_PT023,all_existing_canonical_types_matched
020-024,5,원의 접선의 성질(2); 길이,M3_CIRC_PT025,all_existing_canonical_types_matched
025-029,5,원의 접선의 성질의 활용,M3_CIRC_PT032|M3_CIRC_PT033,all_existing_canonical_types_matched
030-034,5,반원에서의 접선,M3_CIRC_PT032,all_existing_canonical_types_matched
035-039,5,삼각형의 내접원,M3_CIRC_PT035,all_existing_canonical_types_matched
040-044,5,직각삼각형의 내접원,M3_CIRC_PT039|M3_CIRC_PT038,all_existing_canonical_types_matched
045-049,5,원에 외접하는 사각형의 성질(2); 한 내각이 90˚인 경우,M3_CIRC_PT045|M3_CIRC_PT044,all_existing_canonical_types_matched
050-054,5,원에 외접하는 사각형의 성질의 활용(1); 직사각형,M3_CIRC_PT048,all_existing_canonical_types_matched
055-057,3,원에 외접하는 사각형의 성질의 활용(2); 그 외,M3_CIRC_PT051|M3_CIRC_PT050,all_existing_canonical_types_matched
058-061,4,원주각과 중심각의 크기(1),M3_CIRC_PT053|M3_CIRC_PT052,all_existing_canonical_types_matched
062-065,4,원주각의 성질(1); 한 호,M3_CIRC_PT061|M3_CIRC_PT063,all_existing_canonical_types_matched
066-070,5,원주각의 성질(2); 반원,M3_CIRC_PT065,all_existing_canonical_types_matched
071-075,5,원주각과 삼각비의 값(1),M3_CIRC_PT068,all_existing_canonical_types_matched
076-079,4,"원주각과 삼각비의 값(2); 선분의 길이, 넓이",M3_CIRC_PT070|M3_CIRC_PT071,all_existing_canonical_types_matched
080-083,4,원주각의 크기와 호의 길이(1),M3_CIRC_PT074|M3_CIRC_PT075,all_existing_canonical_types_matched
084-088,5,원주각의 크기와 호의 길이(2),M3_CIRC_PT077,all_existing_canonical_types_matched
089-093,5,원주각의 크기와 호의 길이(3),M3_CIRC_PT080,all_existing_canonical_types_matched
094-097,4,네 점이 한 원에 있기 위한 조건,M3_CIRC_PT083|M3_CIRC_PT082,all_existing_canonical_types_matched
098-102,5,원에 내접하는 사각형의 성질(1),M3_CIRC_PT085,all_existing_canonical_types_matched
103-107,5,원에 내접하는 사각형의 성질(2),M3_CIRC_PT089|M3_CIRC_PT090,all_existing_canonical_types_matched
108-112,5,원에 내접하는 사각형과 외각의 성질,M3_CIRC_PT091|M3_CIRC_PT092,all_existing_canonical_types_matched
113-117,5,원에 내접하는 다각형,M3_CIRC_PT095,all_existing_canonical_types_matched
118-122,5,두 원에서 내접하는 사각형의 성질의 활용,M3_CIRC_PT097|M3_CIRC_PT098,all_existing_canonical_types_matched
123-127,5,접선과 현이 이루는 각; 원주각,M3_CIRC_PT107,all_existing_canonical_types_matched
128-132,5,접선과 현이 이루는 각의 활용(1); 현이 중심을 지나지 않는 경우,M3_CIRC_PT113,all_existing_canonical_types_matched
133-137,5,접선과 현이 이루는 각의 활용(2); 현이 중심을 지나는 경우,M3_CIRC_PT115,all_existing_canonical_types_matched
138-142,5,접선과 현이 이루는 각의 활용(3); 한 점에서 원에 그은 두 접선,M3_CIRC_PT118|M3_CIRC_PT119,all_existing_canonical_types_matched
143-147,5,두 원에서 접선과 현이 이루는 각(1),M3_CIRC_PT122,all_existing_canonical_types_matched
148-150,3,두 원에서 접선과 현이 이루는 각(2); 한 원이 다른 원의 내부에 있는 경우,M3_CIRC_PT125|M3_CIRC_PT126,all_existing_canonical_types_matched
