item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,mapping_confidence,cross_set_group
M3_QUAD_150_S06_Q001,001,1,41,"이차방정식의 한 근이 주어졌을 때, 미지수의 값 구하기",M3_QUAD_PT007,두 근이 주어진 경우의 미지수의 값 구하기,-3,84,standard,symbolic_expression,False,0.84,M3_QUAD_PT007::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q002,002,1,41,"이차방정식의 한 근이 주어졌을 때, 미지수의 값 구하기",M3_QUAD_PT006,한 근이 주어진 경우의 두 미지수의 값 구하기,2,74,standard,symbolic_expression,False,0.91,M3_QUAD_PT006::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q003,003,1,41,"이차방정식의 한 근이 주어졌을 때, 미지수의 값 구하기",M3_QUAD_PT006,한 근이 주어진 경우의 두 미지수의 값 구하기,-15,74,standard,symbolic_expression,False,0.91,M3_QUAD_PT006::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q004,004,1,41,"이차방정식의 한 근이 주어졌을 때, 미지수의 값 구하기",M3_QUAD_PT007,두 근이 주어진 경우의 미지수의 값 구하기,10,68,advanced,symbolic_expression,False,0.84,M3_QUAD_PT007::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q005,005,2,41,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT009,두 근이 주어진 경우의 식의 값 구하기,385,77,standard,symbolic_expression,False,0.84,M3_QUAD_PT009::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q006,006,2,41,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT008,한 근이 주어진 경우의 식의 값 구하기,choice:5,70,standard,symbolic_expression,False,0.91,M3_QUAD_PT008::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q007,007,2,42,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT009,두 근이 주어진 경우의 식의 값 구하기,66,69,advanced,symbolic_expression,False,0.84,M3_QUAD_PT009::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q008,008,2,42,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기",M3_QUAD_PT008,한 근이 주어진 경우의 식의 값 구하기,8,61,advanced,symbolic_expression,False,0.91,M3_QUAD_PT008::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q009,009,3,42,AB=0의 성질을 이용한 이차방정식의 풀이,M3_QUAD_PT013,이차방정식의 해의 연산,choice:4,93,core,symbolic_expression,False,0.91,M3_QUAD_PT013::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q010,010,3,42,AB=0의 성질을 이용한 이차방정식의 풀이,M3_QUAD_PT013,이차방정식의 해의 연산,5,81,standard,symbolic_expression,False,0.91,M3_QUAD_PT013::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q011,011,3,42,AB=0의 성질을 이용한 이차방정식의 풀이,M3_QUAD_PT013,이차방정식의 해의 연산,choice:2,90,core,symbolic_expression,False,0.91,M3_QUAD_PT013::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q012,012,3,42,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT014,이차방정식의 응용,4,60,advanced,symbolic_expression,False,0.84,M3_QUAD_PT014::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q013,013,4,42,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT014,이차방정식의 응용,choice:4,63,advanced,symbolic_expression,False,0.84,M3_QUAD_PT014::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q014,014,4,42,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT017,주어진 수가 근이 되도록 하는 경우,2/5,45,advanced,geometry_diagram,True,0.84,M3_QUAD_PT017::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q015,015,4,43,인수분해를 이용한 이차방정식의 풀이,M3_QUAD_PT004,x값의 범위가 주어진 경우,choice:3,90,core,symbolic_expression,False,0.84,M3_QUAD_PT004::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q016,016,4,43,"이차방정식의 한 근이 주어졌을 때, 다른 한 근 구하기",M3_QUAD_PT015,한 근이 주어진 경우,-1,75,standard,symbolic_expression,False,0.91,M3_QUAD_PT015::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q017,017,5,43,"이차방정식의 한 근이 주어졌을 때, 다른 한 근 구하기",M3_QUAD_PT015,한 근이 주어진 경우,1/5,78,standard,symbolic_expression,False,0.84,M3_QUAD_PT015::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q018,018,5,43,"이차방정식의 한 근이 주어졌을 때, 다른 한 근 구하기",M3_QUAD_PT016,한 근이 다른 이차방정식의 근인 경우,choice:5,83,standard,symbolic_expression,False,0.84,M3_QUAD_PT016::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q019,019,5,43,"이차방정식의 한 근이 주어졌을 때, 다른 한 근 구하기",M3_QUAD_PT016,한 근이 다른 이차방정식의 근인 경우,-11,78,standard,symbolic_expression,False,0.84,M3_QUAD_PT016::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q020,020,5,43,이차방정식의 근의 활용,M3_QUAD_PT020,한 근이 다른 이차방정식의 근인 경우,choice:4,87,core,symbolic_expression,False,0.84,M3_QUAD_PT020::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q021,021,6,43,이차방정식의 근의 활용,M3_QUAD_PT020,한 근이 다른 이차방정식의 근인 경우,20,77,standard,symbolic_expression,False,0.84,M3_QUAD_PT020::M3_QUAD_CROSS_SET
M3_QUAD_150_S06_Q022,022,6,43,이차방정식의 근의 활용,M3_QUAD_PT018,두 근의 응용,choice:2,65,advanced,structured_table_or_box,False,0.84,M3_QUAD_PT018::M3_QUAD_CROSS_SET
