major_id,major_name,status,source_pdf
20,경영정보학과,complete_two_page_visible,사회계열 파트1.pdf
21,경영학과,complete_two_page_visible,사회계열 파트1.pdf
22,경제학과,complete_two_page_visible,사회계열 파트1.pdf
23,경찰행정학과,complete_two_page_visible,사회계열 파트1.pdf
24,공공인재학부,complete_two_page_visible,사회계열 파트1.pdf
25,관광경영학과,complete_two_page_visible,사회계열 파트1.pdf
26,광고홍보학과,complete_two_page_visible,사회계열 파트1.pdf
27,국제통상학과,complete_two_page_visible,사회계열 파트1.pdf
28,국제학부,partial_one_page_visible,사회계열 파트1.pdf
29,군사학과,complete_two_page_visible,사회계열 파트2.pdf
30,글로벌경영학과,complete_two_page_visible,사회계열 파트2.pdf
31,농업경제학과,complete_two_page_visible,사회계열 파트2.pdf
32,도시행정학과,complete_two_page_visible,사회계열 파트2.pdf
33,무역학과,complete_two_page_visible,사회계열 파트2.pdf
34,문헌정보학과,complete_two_page_visible,사회계열 파트2.pdf
35,문화콘텐츠학과,complete_two_page_visible,사회계열 파트2.pdf
36,미디어커뮤니케이션학과,complete_two_page_visible,사회계열 파트2.pdf
37,법학과,complete_two_page_visible,사회계열 파트2.pdf
