item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,mapping_confidence
M3_POLY_150_S06_Q001,001,1,41,계수 구하기,M3_POLY_PT006,전개식의 계수 구하기 - 계산 수행,choice:2,89,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q002,002,1,41,계수 구하기,M3_POLY_PT008,전개식의 계수 구하기 - 종합 활용,8,87,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q003,003,1,41,계수 구하기,M3_POLY_PT008,전개식의 계수 구하기 - 종합 활용,choice:5,68,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q004,004,1,41,곱셈 공식(1) 합의 제곱,M3_POLY_PT012,합의 제곱 공식 - 종합 활용,"choice:2,5",80,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q005,005,2,41,곱셈 공식(1) 합의 제곱,M3_POLY_PT011,합의 제곱 공식 - 조건 적용,"choice:1,5",81,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q006,006,2,41,곱셈 공식(1) 합의 제곱,M3_POLY_PT009,합의 제곱 공식,"choice:2,4",75,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q007,007,2,41,곱셈 공식(2) 차의 제곱,M3_POLY_PT013,차의 제곱 공식,choice:1,82,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q008,008,2,41,곱셈 공식(2) 차의 제곱,M3_POLY_PT013,차의 제곱 공식,choice:4,74,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q009,009,3,42,곱셈 공식(2) 차의 제곱,M3_POLY_PT013,차의 제곱 공식,choice:3,77,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q010,010,3,42,곱셈 공식(3) 합과 차의 곱,M3_POLY_PT017,합과 차의 곱 공식,choice:4,86,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q011,011,3,42,곱셈 공식(3) 합과 차의 곱,M3_POLY_PT019,합과 차의 곱 공식 - 조건 적용,4,74,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q012,012,3,42,곱셈 공식(3) 합과 차의 곱,M3_POLY_PT020,합과 차의 곱 공식 - 종합 활용,choice:4,88,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q013,013,4,42,연속한 합과 차의 곱,M3_POLY_PT022,연속한 합과 차의 곱 - 계산 수행,33,46,advanced,symbolic_expression,False,0.87
M3_POLY_150_S06_Q014,014,4,42,연속한 합과 차의 곱,M3_POLY_PT022,연속한 합과 차의 곱 - 계산 수행,choice:1,87,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q015,015,4,42,연속한 합과 차의 곱,M3_POLY_PT024,연속한 합과 차의 곱 - 종합 활용,choice:5,75,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q016,016,4,43,곱셈 공식(4) 일차항의 계수가 1인 두 일차식의 곱,M3_POLY_PT028,일차항 계수가 1인 두 일차식의 곱 - 종합 활용,-14,79,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q017,017,5,43,곱셈 공식(4) 일차항의 계수가 1인 두 일차식의 곱,M3_POLY_PT028,일차항 계수가 1인 두 일차식의 곱 - 종합 활용,choice:4,80,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q018,018,5,43,곱셈 공식(4) 일차항의 계수가 1인 두 일차식의 곱,M3_POLY_PT028,일차항 계수가 1인 두 일차식의 곱 - 종합 활용,-1,72,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q019,019,5,43,곱셈 공식(5) 일차항의 계수가 1이 아닌 두 일차식의 곱,M3_POLY_PT030,일차항 계수가 1이 아닌 두 일차식의 곱 - 계산 수행,1,83,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q020,020,5,43,곱셈 공식(5) 일차항의 계수가 1이 아닌 두 일차식의 곱,M3_POLY_PT031,일차항 계수가 1이 아닌 두 일차식의 곱 - 조건 적용,choice:2,86,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q021,021,6,43,곱셈 공식(5) 일차항의 계수가 1이 아닌 두 일차식의 곱,M3_POLY_PT032,일차항 계수가 1이 아닌 두 일차식의 곱 - 종합 활용,choice:3,86,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q022,022,6,43,곱셈 공식(종합),M3_POLY_PT038,곱셈 공식 종합 적용 - 계산 수행,74,69,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q023,023,6,43,곱셈 공식(종합),M3_POLY_PT039,곱셈 공식 종합 적용 - 조건 적용,choice:3,74,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q024,024,6,43,곱셈 공식(종합),M3_POLY_PT038,곱셈 공식 종합 적용 - 계산 수행,choice:3,70,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q025,025,7,43,공통부분이 있는 식의 전개,M3_POLY_PT046,공통부분이 있는 식의 전개 - 계산 수행,choice:4,88,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q026,026,7,44,공통부분이 있는 식의 전개,M3_POLY_PT047,공통부분이 있는 식의 전개 - 조건 적용,-10,72,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q027,027,7,44,공통부분이 있는 식의 전개,M3_POLY_PT047,공통부분이 있는 식의 전개 - 조건 적용,choice:3,71,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q028,028,7,44,(  )(  )(  )(  )꼴의 전개,M3_POLY_PT052,세 항 이상의 곱 전개 - 종합 활용,41,60,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q029,029,8,44,(  )(  )(  )(  )꼴의 전개,M3_POLY_PT051,세 항 이상의 곱 전개 - 조건 적용,40,68,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q030,030,8,44,(  )(  )(  )(  )꼴의 전개,M3_POLY_PT050,세 항 이상의 곱 전개 - 계산 수행,choice:4,79,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q031,031,8,44,곱셈 공식의 도형에의 활용(1),M3_POLY_PT044,도형을 이용한 곱셈 공식 - 종합 활용,12,81,core,geometry_diagram,True,0.87
M3_POLY_150_S06_Q032,032,8,44,곱셈 공식의 도형에의 활용(1),M3_POLY_PT044,도형을 이용한 곱셈 공식 - 종합 활용,choice:1,83,standard,geometry_diagram,True,0.87
M3_POLY_150_S06_Q033,033,9,45,곱셈 공식의 도형에의 활용(1),M3_POLY_PT044,도형을 이용한 곱셈 공식 - 종합 활용,choice:1,76,core,geometry_diagram,True,0.87
M3_POLY_150_S06_Q034,034,9,45,곱셈 공식의 도형에의 활용(2),M3_POLY_PT044,도형을 이용한 곱셈 공식 - 종합 활용,choice:4,86,core,geometry_diagram,True,0.87
M3_POLY_150_S06_Q035,035,9,45,곱셈 공식의 도형에의 활용(2),M3_POLY_PT044,도형을 이용한 곱셈 공식 - 종합 활용,choice:5,85,core,geometry_diagram,True,0.87
M3_POLY_150_S06_Q036,036,9,45,곱셈 공식의 도형에의 활용(2),M3_POLY_PT044,도형을 이용한 곱셈 공식 - 종합 활용,1,65,standard,geometry_diagram,True,0.87
M3_POLY_150_S06_Q037,037,10,45,곱셈 공식을 이용한 수의 제곱 계산,M3_POLY_PT054,곱셈 공식을 이용한 수의 제곱 계산 - 계산 수행,1015,74,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q038,038,10,45,곱셈 공식을 이용한 수의 제곱 계산,M3_POLY_PT054,곱셈 공식을 이용한 수의 제곱 계산 - 계산 수행,9409,79,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q039,039,10,45,곱셈 공식을 이용한 수의 제곱 계산,M3_POLY_PT056,곱셈 공식을 이용한 수의 제곱 계산 - 종합 활용,2490.01,69,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q040,040,10,46,곱셈 공식을 이용한 두 수의 곱의 계산,M3_POLY_PT058,곱셈 공식을 이용한 두 수의 곱 계산 - 계산 수행,choice:2,80,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q041,041,11,46,곱셈 공식을 이용한 두 수의 곱의 계산,M3_POLY_PT060,곱셈 공식을 이용한 두 수의 곱 계산 - 종합 활용,190,71,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q042,042,11,46,곱셈 공식을 이용한 두 수의 곱의 계산,M3_POLY_PT060,곱셈 공식을 이용한 두 수의 곱 계산 - 종합 활용,-2,71,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q043,043,11,46,곱셈 공식을 이용한 복잡한 수의 계산,M3_POLY_PT064,복잡한 수의 계산 - 종합 활용,choice:3,83,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q044,044,11,46,곱셈 공식을 이용한 복잡한 수의 계산,M3_POLY_PT064,복잡한 수의 계산 - 종합 활용,choice:5,66,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q045,045,12,46,곱셈 공식을 이용한 복잡한 수의 계산,M3_POLY_PT064,복잡한 수의 계산 - 종합 활용,20,53,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q046,046,12,46,곱셈 공식을 이용한 수의 계산: 제곱근을 포함한 경우,M3_POLY_PT066,제곱근을 포함한 수의 계산 - 계산 수행,choice:4,84,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q047,047,12,47,곱셈 공식을 이용한 수의 계산: 제곱근을 포함한 경우,M3_POLY_PT066,제곱근을 포함한 수의 계산 - 계산 수행,104,77,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q048,048,12,48,곱셈 공식을 이용한 수의 계산: 제곱근을 포함한 경우,M3_POLY_PT068,제곱근을 포함한 수의 계산 - 종합 활용,-3,66,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q049,049,13,49,곱셈 공식을 이용한 분모의 유리화,M3_POLY_PT075,분모의 유리화 - 조건 적용,choice:1,85,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q050,050,13,50,곱셈 공식을 이용한 분모의 유리화,M3_POLY_PT076,분모의 유리화 - 종합 활용,choice:2,80,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q051,051,13,51,곱셈 공식을 이용한 분모의 유리화,M3_POLY_PT076,분모의 유리화 - 종합 활용,choice:3,74,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q052,052,13,52,식의 값 구하기(1) 수가 주어진 경우,M3_POLY_PT080,수가 주어진 식의 값 - 종합 활용,choice:5,77,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q053,053,14,53,식의 값 구하기(1) 수가 주어진 경우,M3_POLY_PT080,수가 주어진 식의 값 - 종합 활용,choice:4,78,standard,number_line_or_coordinate_diagram,True,0.87
M3_POLY_150_S06_Q054,054,14,54,식의 값 구하기(1) 수가 주어진 경우,M3_POLY_PT080,수가 주어진 식의 값 - 종합 활용,choice:2,63,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q055,055,14,55,식의 값 구하기(2) 두 수의 합 또는 차와 곱이 주어진 경우,M3_POLY_PT084,두 수의 합·차·곱이 주어진 식의 값 - 종합 활용,9,77,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q056,056,14,56,식의 값 구하기(2) 두 수의 합 또는 차와 곱이 주어진 경우,M3_POLY_PT084,두 수의 합·차·곱이 주어진 식의 값 - 종합 활용,322,54,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q057,057,15,57,식의 값 구하기(2) 두 수의 합 또는 차와 곱이 주어진 경우,M3_POLY_PT084,두 수의 합·차·곱이 주어진 식의 값 - 종합 활용,7/2,73,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q058,058,15,58,식의 값 구하기(3) 두 수의 곱이 1인 경우,M3_POLY_PT086,두 수의 곱이 1인 경우와 식 만들기 - 계산 수행,255,66,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q059,059,15,59,식의 값 구하기(3) 두 수의 곱이 1인 경우,M3_POLY_PT086,두 수의 곱이 1인 경우와 식 만들기 - 계산 수행,choice:1,86,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q060,060,15,60,식의 값 구하기(3) 두 수의 곱이 1인 경우,M3_POLY_PT086,두 수의 곱이 1인 경우와 식 만들기 - 계산 수행,choice:4,80,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q061,061,16,48,식의 값 구하기(4) 두 수의 곱이 1인 식 만들기,M3_POLY_PT087,두 수의 곱이 1인 경우와 식 만들기 - 조건 적용,4,71,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q062,062,16,48,식의 값 구하기(4) 두 수의 곱이 1인 식 만들기,M3_POLY_PT087,두 수의 곱이 1인 경우와 식 만들기 - 조건 적용,11,46,advanced,symbolic_expression,False,0.87
M3_POLY_150_S06_Q063,063,16,48,식의 값 구하기(4) 두 수의 곱이 1인 식 만들기,M3_POLY_PT088,두 수의 곱이 1인 경우와 식 만들기 - 종합 활용,choice:3,72,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q064,064,16,48,식의 값 구하기(5) 식을 먼저 간단히 하는 경우,M3_POLY_PT090,식을 먼저 간단히 하여 값 구하기 - 계산 수행,choice:1,71,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q065,065,17,48,식의 값 구하기(5) 식을 먼저 간단히 하는 경우,M3_POLY_PT090,식을 먼저 간단히 하여 값 구하기 - 계산 수행,choice:2,61,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q066,066,17,49,식의 값 구하기(5) 식을 먼저 간단히 하는 경우,M3_POLY_PT092,식을 먼저 간단히 하여 값 구하기 - 종합 활용,41/4,43,advanced,symbolic_expression,False,0.87
M3_POLY_150_S06_Q067,067,17,49,식의 값 구하기(6) 주어진 수를 변형하여 식에 대입하는 경우,M3_POLY_PT080,수가 주어진 식의 값 - 종합 활용,1,66,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q068,068,17,49,식의 값 구하기(6) 주어진 수를 변형하여 식에 대입하는 경우,M3_POLY_PT080,수가 주어진 식의 값 - 종합 활용,choice:2,62,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q069,069,18,49,식의 값 구하기(6) 주어진 수를 변형하여 식에 대입하는 경우,M3_POLY_PT080,수가 주어진 식의 값 - 종합 활용,choice:2,56,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q070,070,18,49,식의 값 구하기(7) 무리수의 정수 부분과 소수 부분,M3_POLY_PT094,무리수의 정수 부분과 소수 부분 - 계산 수행,5,69,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q071,071,18,50,식의 값 구하기(7) 무리수의 정수 부분과 소수 부분,M3_POLY_PT096,무리수의 정수 부분과 소수 부분 - 종합 활용,-75,51,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q072,072,18,50,식의 값 구하기(7) 무리수의 정수 부분과 소수 부분,M3_POLY_PT096,무리수의 정수 부분과 소수 부분 - 종합 활용,-120,50,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q073,073,19,51,공통인수를 이용한 인수분해,M3_POLY_PT106,공통인수를 이용한 인수분해 - 계산 수행,52,64,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q074,074,19,51,공통인수를 이용한 인수분해,M3_POLY_PT106,공통인수를 이용한 인수분해 - 계산 수행,choice:2,81,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q075,075,19,51,공통인수를 이용한 인수분해,M3_POLY_PT106,공통인수를 이용한 인수분해 - 계산 수행,choice:5,63,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q076,076,19,51,인수분해 공식(1) a²±2ab+b²=(a±b)²,M3_POLY_PT109,완전제곱식 인수분해 - 계산 수행,13,70,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q077,077,20,51,인수분해 공식(1) a²±2ab+b²=(a±b)²,M3_POLY_PT109,완전제곱식 인수분해 - 계산 수행,choice:3,92,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q078,078,20,51,인수분해 공식(1) a²±2ab+b²=(a±b)²,M3_POLY_PT109,완전제곱식 인수분해 - 계산 수행,choice:5,86,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q079,079,20,51,완전제곱식이 될 조건,M3_POLY_PT112,완전제곱식이 될 조건 - 계산 수행,121/20,59,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q080,080,20,51,완전제곱식이 될 조건,M3_POLY_PT112,완전제곱식이 될 조건 - 계산 수행,2,52,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q081,081,21,51,완전제곱식이 될 조건,M3_POLY_PT113,완전제곱식이 될 조건 - 조건 적용,73/4,63,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q082,082,21,52,근호 안이 완전제곱식으로 인수분해 되는 식,M3_POLY_PT115,근호 안이 완전제곱식이 되도록 하는 식 - 계산 수행,choice:4,69,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q083,083,21,52,근호 안이 완전제곱식으로 인수분해 되는 식,M3_POLY_PT116,근호 안이 완전제곱식이 되도록 하는 식 - 조건 적용,2a,61,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q084,084,21,52,근호 안이 완전제곱식으로 인수분해 되는 식,M3_POLY_PT116,근호 안이 완전제곱식이 되도록 하는 식 - 조건 적용,choice:4,62,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q085,085,22,52,인수분해 공식(2) a²-b²=(a+b)(a-b),M3_POLY_PT118,a^2-b^2 인수분해 - 계산 수행,1,72,standard,visual_condition_model,False,0.87
M3_POLY_150_S06_Q086,086,22,52,인수분해 공식(2) a²-b²=(a+b)(a-b),M3_POLY_PT118,a^2-b^2 인수분해 - 계산 수행,choice:3,68,standard,visual_condition_model,False,0.87
M3_POLY_150_S06_Q087,087,22,52,인수분해 공식(3) x²+(a+b)x+ab=(x+a)(x+b),M3_POLY_PT124,x²+(a+b)x+ab 꼴 인수분해 - 계산 수행,-14,75,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q088,088,22,52,인수분해 공식(3) x²+(a+b)x+ab=(x+a)(x+b),M3_POLY_PT124,x²+(a+b)x+ab 꼴 인수분해 - 계산 수행,choice:2,83,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q089,089,23,52,인수분해 공식(3) x²+(a+b)x+ab=(x+a)(x+b),M3_POLY_PT125,x²+(a+b)x+ab 꼴 인수분해 - 조건 적용,-9,77,core,symbolic_expression,False,0.87
M3_POLY_150_S06_Q090,090,23,52,인수분해 공식(4) acx²+(ad+bc)x+bd=(ax+b)(cx+d),M3_POLY_PT127,일차항 계수가 1이 아닌 이차식 인수분해 - 계산 수행,choice:3,58,standard,symbolic_expression,False,0.87
M3_POLY_150_S06_Q091,091,23,53,인수분해 공식(4) acx²+(ad+bc)x+bd=(ax+b)(cx+d),M3_POLY_PT128,일차항 계수가 1이 아닌 이차식 인수분해 - 조건 적용,0,73,standard,symbolic_expression,False,0.87
