item_id,source_file,source_unit,source_question_no,engine_unit_id,matched_problem_type_id,type_name,variant_id,difficulty,mapping_status
sibal_alg_t01_04_step1_q001,시발점 대수 지수함수와 로그함수.pdf,STEP1 Theme 1~4,STEP1-T01_04-Q001,ALG_EXP_LOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,SIBAL_ALG_T01_04_BASIC,core,range_matched_review_required
sibal_alg_t01_04_step1_q002,시발점 대수 지수함수와 로그함수.pdf,STEP1 Theme 1~4,STEP1-T01_04-Q002,ALG_EXP_LOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,SIBAL_ALG_T01_04_BASIC,core,range_matched_review_required
sibal_alg_t01_04_step1_q003,시발점 대수 지수함수와 로그함수.pdf,STEP1 Theme 1~4,STEP1-T01_04-Q003,ALG_EXP_LOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,SIBAL_ALG_T01_04_BASIC,core,range_matched_review_required
sibal_alg_t01_04_step1_q004,시발점 대수 지수함수와 로그함수.pdf,STEP1 Theme 1~4,STEP1-T01_04-Q004,ALG_EXP_LOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,SIBAL_ALG_T01_04_BASIC,core,range_matched_review_required
sibal_alg_t01_04_step1_q005,시발점 대수 지수함수와 로그함수.pdf,STEP1 Theme 1~4,STEP1-T01_04-Q005,ALG_EXP_LOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,SIBAL_ALG_T01_04_BASIC,core,range_matched_review_required
sibal_alg_t01_04_step1_q006,시발점 대수 지수함수와 로그함수.pdf,STEP1 Theme 1~4,STEP1-T01_04-Q006,ALG_EXP_LOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,SIBAL_ALG_T01_04_BASIC,core,range_matched_review_required
sibal_alg_t01_04_step1_q007,시발점 대수 지수함수와 로그함수.pdf,STEP1 Theme 1~4,STEP1-T01_04-Q007,ALG_EXP_LOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,SIBAL_ALG_T01_04_BASIC,core,range_matched_review_required
sibal_alg_t01_04_step1_q008,시발점 대수 지수함수와 로그함수.pdf,STEP1 Theme 1~4,STEP1-T01_04-Q008,ALG_EXP_LOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,SIBAL_ALG_T01_04_BASIC,core,range_matched_review_required
sibal_alg_t01_04_step1_q009,시발점 대수 지수함수와 로그함수.pdf,STEP1 Theme 1~4,STEP1-T01_04-Q009,ALG_EXP_LOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,SIBAL_ALG_T01_04_BASIC,core,range_matched_review_required
sibal_alg_t01_04_step1_q010,시발점 대수 지수함수와 로그함수.pdf,STEP1 Theme 1~4,STEP1-T01_04-Q010,ALG_EXP_LOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,SIBAL_ALG_T01_04_BASIC,core,range_matched_review_required
sibal_alg_t01_04_step1_q011,시발점 대수 지수함수와 로그함수.pdf,STEP1 Theme 1~4,STEP1-T01_04-Q011,ALG_EXP_LOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_PT_EXPONENT_LOG_BASIC,지수·로그의 뜻과 기본 계산,SIBAL_ALG_T01_04_BASIC,core,range_matched_review_required
